thisN,thisTrialN,thisRepN,expBlk.thisRepN,expBlk.thisTrialN,expBlk.thisN,expBlk.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,loadExpVar.started,loadExpVar.stopped,blockInit.started,blockInit.stopped,trlInit.started,trlInit.stopped,fixationCircle.started,fixationCircle.stopped,stim.started,stim.stopped,preCueRest.started,preCueRest.stopped,retrocue.started,retrocue.stopped,delayCode_2.started,delayCode_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
9,0,9,0,0,0,0,9,0,9,0,15.88113489999887,,,,,,15.867302200000267,15.86752179999894,15.882558999997855,15.882970699996804,16.474401299998135,16.474805999998352,16.49190549999912,16.975380299998506,16.981963799997175,17.47604709999723,17.483249999997497,17.483538299999054,307542,001,2025-05-05_17h52.13.711,KeoghRevisedRetrocueTask,2024.2.4,59.93119898338649,2025-05-05 17h52.24.971511 -0700,
10,0,10,0,0,0,0,10,0,10,0,17.497817799998302,,,,,,17.483730500000092,17.48389379999935,17.499737799997092,17.500130699998408,18.08952069999941,18.089921999999206,18.098980499999016,18.59047339999961,18.599000599999272,19.091085799998837,19.10010659999898,19.100525499998184,307542,001,2025-05-05_17h52.13.711,KeoghRevisedRetrocueTask,2024.2.4,59.93119898338649,2025-05-05 17h52.24.971511 -0700,
11,0,11,0,0,0,0,11,0,11,0,19.11493949999931,,,,,,19.10073519999787,19.10100329999841,19.11667729999681,19.117161899997882,19.725773999998637,19.726194299997587,19.732003899996926,20.226840999999695,20.250261999997747,20.727587699999276,20.75139179999678,20.75189109999701,307542,001,2025-05-05_17h52.13.711,KeoghRevisedRetrocueTask,2024.2.4,59.93119898338649,2025-05-05 17h52.24.971511 -0700,
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,307542,001,2025-05-05_17h52.13.711,KeoghRevisedRetrocueTask,2024.2.4,59.93119898338649,2025-05-05 17h52.24.971511 -0700,
0,0,0,1,0,1,0,0,0,0,0,20.76492149999831,,,,20.752794500000164,20.75301059999765,20.75333259999752,20.753529899997375,20.766581299998506,20.76702159999695,21.372508899999957,21.37305529999867,21.382914199999504,21.87372349999714,21.881679799997073,22.37444019999748,22.38304589999825,22.38335989999905,307542,001,2025-05-05_17h52.13.711,KeoghRevisedRetrocueTask,2024.2.4,59.93119898338649,2025-05-05 17h52.24.971511 -0700,
1,0,1,1,0,1,0,1,0,1,0,22.398469799998566,,,,,,22.3835889999973,22.383824799999275,22.400103399999352,22.400557599998137,22.991075699999783,22.99146699999983,22.999053199997434,23.492056999999477,23.517661099998804,23.992756499999814,23.99968959999751,23.99996789999932,307542,001,2025-05-05_17h52.13.711,KeoghRevisedRetrocueTask,2024.2.4,59.93119898338649,2025-05-05 17h52.24.971511 -0700,
2,0,2,1,0,1,0,2,0,2,0,24.013990799998282,,,,,,24.0001889999985,24.00041179999971,24.015905699998257,24.01631129999805,24.621401099997456,24.621886699998868,24.631650699997408,25.122536599999876,25.13360459999967,25.623315699998784,25.632932799999253,25.63324139999895,307542,001,2025-05-05_17h52.13.711,KeoghRevisedRetrocueTask,2024.2.4,59.93119898338649,2025-05-05 17h52.24.971511 -0700,
3,0,3,1,0,1,0,3,0,3,0,25.647743999998056,,,,,,25.633458899999823,25.63366369999858,25.649513999996998,25.650169599997753,26.240187899999,26.24067229999855,26.248390499997186,26.74149269999907,26.748548599996866,27.24223389999679,27.249062699997012,27.24939919999815,307542,001,2025-05-05_17h52.13.711,KeoghRevisedRetrocueTask,2024.2.4,59.93119898338649,2025-05-05 17h52.24.971511 -0700,
4,0,4,1,0,1,0,4,0,4,0,27.26372529999935,,,,,,27.249607599998853,27.24986629999694,27.265280899999198,27.265698399998655,27.838359099998343,27.838795099996787,27.848467899999378,28.339346299999306,28.349391599997034,28.840034699998796,28.84908379999979,28.84943729999941,307542,001,2025-05-05_17h52.13.711,KeoghRevisedRetrocueTask,2024.2.4,59.93119898338649,2025-05-05 17h52.24.971511 -0700,
5,0,5,1,0,1,0,5,0,5,0,28.863385799999378,,,,,,28.849646099999518,28.849886199997854,28.86487219999981,28.86530489999859,29.456823900000018,29.457250899999053,29.464657499996974,29.95786339999904,29.965356099997734,30.458495699997002,30.46637539999938,30.46672629999739,307542,001,2025-05-05_17h52.13.711,KeoghRevisedRetrocueTask,2024.2.4,59.93119898338649,2025-05-05 17h52.24.971511 -0700,
6,0,6,1,0,1,0,6,0,6,0,30.480431500000122,,,,,,30.4669458999997,30.467164699999557,30.48195510000005,30.482349499998236,31.10477009999886,31.10518939999747,31.11490579999736,31.605895499997132,31.614974099997198,32.106544099999155,32.11587619999773,32.11615499999971,307542,001,2025-05-05_17h52.13.711,KeoghRevisedRetrocueTask,2024.2.4,59.93119898338649,2025-05-05 17h52.24.971511 -0700,
7,0,7,1,0,1,0,7,0,7,0,32.13037389999954,,,,,,32.1163736999988,32.11663199999748,32.131951199997275,32.1323541999991,32.73953299999994,32.739968599998974,32.74841039999956,33.240504299999884,33.24859939999806,33.74112109999987,33.74917199999982,33.749576199999865,307542,001,2025-05-05_17h52.13.711,KeoghRevisedRetrocueTask,2024.2.4,59.93119898338649,2025-05-05 17h52.24.971511 -0700,
8,0,8,1,0,1,0,8,0,8,0,33.76329999999871,,,,,,33.749876899997616,33.75018849999833,33.76493069999924,33.76521859999775,34.37261469999794,34.373131499996816,34.381792099997256,34.87377619999825,34.881754199999705,35.37436319999688,35.38251449999734,35.38280759999907,307542,001,2025-05-05_17h52.13.711,KeoghRevisedRetrocueTask,2024.2.4,59.93119898338649,2025-05-05 17h52.24.971511 -0700,
9,0,9,1,0,1,0,9,0,9,0,35.39650939999774,,,,,,35.38301019999926,35.38318399999844,35.39784249999866,35.398157799998444,35.9903278999991,35.99076149999746,35.998125599999184,36.49141889999737,36.49763669999811,36.9920753999977,37.0170509999989,37.01751929999955,307542,001,2025-05-05_17h52.13.711,KeoghRevisedRetrocueTask,2024.2.4,59.93119898338649,2025-05-05 17h52.24.971511 -0700,
10,0,10,1,0,1,0,10,0,10,0,37.03000089999841,,,,,,37.0178285999973,37.01816249999683,37.031701500000054,37.03222789999927,37.621246199996676,37.621774899998854,37.631013299996994,38.12245279999843,38.13142339999831,38.62320929999987,38.631878499996674,38.63225160000002,307542,001,2025-05-05_17h52.13.711,KeoghRevisedRetrocueTask,2024.2.4,59.93119898338649,2025-05-05 17h52.24.971511 -0700,
11,0,11,1,0,1,0,11,0,11,0,38.64691649999804,,,,,,38.63245839999945,38.63272519999737,38.64889419999963,38.64929149999807,39.274417299999186,39.274869599998055,39.28038489999744,39.77541359999668,39.79819739999948,40.27599129999726,40.300372399997286,40.30080420000013,307542,001,2025-05-05_17h52.13.711,KeoghRevisedRetrocueTask,2024.2.4,59.93119898338649,2025-05-05 17h52.24.971511 -0700,
1,0,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,307542,001,2025-05-05_17h52.13.711,KeoghRevisedRetrocueTask,2024.2.4,59.93119898338649,2025-05-05 17h52.24.971511 -0700,
