4.3713 	DATA 	Mouse: wheel shift=(0,-2), pos=(399,367)
4.3813 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
4.4054 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
4.4146 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
4.4417 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
4.4490 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
4.4733 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
4.4734 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
4.5053 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
4.5141 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
4.5383 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
4.5713 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
4.9130 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
4.9415 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
4.9480 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
4.9689 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
4.9712 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
4.9745 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
4.9815 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
5.0057 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
5.0378 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
5.0699 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
5.4132 	DATA 	Mouse: wheel shift=(0,1), pos=(399,367)
5.4372 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
5.4400 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
5.4463 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
5.4692 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
5.4709 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
5.4789 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
5.5088 	DATA 	Mouse: wheel shift=(0,0), pos=(399,367)
8.0722 	DATA 	Mouse: wheel shift=(0,0), pos=(619,328)
8.0770 	DATA 	Mouse: wheel shift=(0,0), pos=(619,328)
8.1021 	DATA 	Mouse: wheel shift=(0,0), pos=(619,328)
8.1051 	DATA 	Mouse: wheel shift=(0,0), pos=(619,328)
8.1132 	DATA 	Mouse: wheel shift=(0,0), pos=(619,328)
